ID_Region,Region,ParentRegion,RegionType,,,
182,Port Shepstone,2,District,,,
183,Port St Johns,6,District,,,
184,Postmasburg,9,District,,,
185,Potchefstroom,7,District,,,
186,Pretoria,1,District,,,
187,Prieska,9,District,,,
188,Prince Albert,4,District,,,
189,Queenstown,6,District,,,
190,Qumbu,6,District,,,
191,Randfontein,1,District,,,
192,Reitz,8,District,,,
193,Richards Bay,2,District,,,
194,Richmond,2,District,,,
195,Riversdale,4,District,,,
196,Rustenburg,7,District,,,
197,Sasolburg,8,District,,,
198,Schweizer-Reneke,7,District,,,
199,Scottburgh,2,District,,,
200,Secunda,3,District,,,
201,Senwabarwana,5,District,,,
202,Setlagole,7,District,,,
203,Siyabuswa,3,District,,,
204,Somerset East,6,District,,,
205,Springbok,9,District,,,
206,Standerton,3,District,,,
207,Stellenbosch,4,District,,,
208,Stutterheim,6,District,,,
209,Swellendam,4,District,,,
210,Tarkastad,6,District,,,
211,Taung,7,District,,,
212,Thabazimbi,5,District,,,
213,Theunissen,8,District,,,
214,Thohoyandou,5,District,,,
215,Trompsburg,8,District,,,
216,Tugela Ferry,2,District,,,
217,Tzaneen,5,District,,,
218,Ulundi,2,District,,,
219,Umzimkhulu,2,District,,,
220,Upington,9,District,,,
221,Utrecht,2,District,,,
222,Vanderbijlpark,1,District,,,
223,Ventersdorp,7,District,,,
224,Victoria West,9,District,,,
225,Volksrust,3,District,,,
226,Vrede,8,District,,,
227,Vredenburg,4,District,,,
228,Vredendal,4,District,,,
229,Vryburg,7,District,,,
230,Vryheid,2,District,,,
231,Warrenton,9,District,,,
232,Wartburg,2,District,,,
233,Wasbank,2,District,,,
234,Welkom,8,District,,,
235,Westonaria,1,District,,,
236,Williston,9,District,,,
237,Willowmore,6,District,,,
238,Witbank,3,District,,,
239,Wolmaransstad,7,District,,,
240,Worcester,4,District,,,
241,Zastron,8,District,,,
242,Zeerust,7,District,,,
243,Alfred Nzo District Municipality,6,District Municipality,,,
244,Amajuba District Municipality,2,District Municipality,,,
245,Amathole District Municipality,6,District Municipality,,,
246,Bojanala Platinum District Municipality,7,District Municipality,,,
248,Cacadu District Municipality,6,District Municipality,,,
249,Cape Winelands District Municipality,4,District Municipality,,,
250,Capricorn District Municipality,5,District Municipality,,,
251,Central Karoo District Municipality,4,District Municipality,,,
252,Chris Hani District Municipality,6,District Municipality,,,
256,Dr Kenneth Kaunda District Municipality,7,District Municipality,,,
257,Dr Ruth Segomotsi Mompati District Municipality,7,District Municipality,,,
258,Eden District Municipality,4,District Municipality,,,
259,Ehlanzeni District Municipality,3,District Municipality,,,
262,Fezile Dabi District Municipality,8,District Municipality,,,
